 Схема  |            Имя             |   Тип   | Владелец
--------+----------------------------+---------+----------
 public | abilities                  | таблица | codexen
 public | accessory_templates        | таблица | codexen
 public | account_info               | таблица | codexen
 public | active_quests              | таблица | codexen
 public | alembic_version            | таблица | codexen
 public | applied_permissions        | таблица | codexen
 public | armor_templates            | таблица | codexen
 public | bloodlines                 | таблица | codexen
 public | character_skills           | таблица | codexen
 public | character_status           | таблица | codexen
 public | characters                 | таблица | codexen
 public | characters_special         | таблица | codexen
 public | connection_types           | таблица | codexen
 public | connections                | таблица | codexen
 public | discord_bindings           | таблица | codexen
 public | discord_quest_descriptions | таблица | codexen
 public | entity_properties          | таблица | codexen
 public | entity_state_map           | таблица | codexen
 public | equipped_items             | таблица | codexen
 public | flag_templates             | таблица | codexen
 public | inventory                  | таблица | codexen
 public | item_base                  | таблица | codexen
 public | materials                  | таблица | codexen
 public | modifiers_library          | таблица | codexen
 public | player_magic_attack        | таблица | codexen
 public | player_magic_defense       | таблица | codexen
 public | player_physical_attack     | таблица | codexen
 public | player_physical_defense    | таблица | codexen
 public | progression_ticks          | таблица | codexen
 public | quest_conditions           | таблица | codexen
 public | quest_flags                | таблица | codexen
 public | quest_requirements         | таблица | codexen
 public | quest_rewards              | таблица | codexen
 public | quest_steps                | таблица | codexen
 public | quest_templates_master     | таблица | codexen
 public | quest_types                | таблица | codexen
 public | quests                     | таблица | codexen
 public | races                      | таблица | codexen
 public | regions                    | таблица | codexen
 public | reputation                 | таблица | codexen
 public | skill_ability_unlocks      | таблица | codexen
 public | skill_unlocks              | таблица | codexen
 public | skills                     | таблица | codexen
 public | special_stat_effects       | таблица | codexen
 public | state_entities             | таблица | codexen
 public | state_entities_discord     | таблица | codexen
 public | subregions                 | таблица | codexen
 public | suffixes                   | таблица | codexen
 public | template_modifier_defaults | таблица | codexen
 public | weapon_templates           | таблица | codexen
 public | worlds                     | таблица | codexen
(51 строка)
